channel,mtt_bin,Nneg,Npos,Events
SL,0_350,573129448.859375,574773134.593750,1147744522.750000
SL,350_500,19840241302.750000,19974422752.762024,39830026578.000000
SL,500_750,11294032812.375000,11400150781.095215,22709620572.500000
SL,750_1000,2238603338.312500,2264640386.904297,4501595075.812500
SL,1000_1500,729317598.375000,741203981.561035,1470243932.781250
SL,1500Inf,98249190.306641,100154595.662537,198400673.513672
DL,0_350,27777472.460907,27861468.886017,55641077.143555
DL,350_500,960989308.586670,967139541.204163,1925725846.382446
DL,500_750,547446868.294678,552425476.272125,1099454507.896118
DL,750_1000,108584483.334717,109811776.929596,218385623.862762
DL,1000_1500,35394807.460541,35799505.241272,71193890.789520
DL,1500Inf,4773772.827698,4857984.211975,9631806.043304
