channel,mtt_bin,Nneg,eNneg,Npos,eNpos,Events,eEvents,R,eR
SL,0_350,769901262.750000,483906.030927,771495475.500000,484414.952712,1541862368.500000,684706.428463,0.997933607,0.000886588
SL,350_500,26663711536.000000,2848188.633483,26844648676.444031,2857828.247847,53352470528.000000,4034768.987918,0.993259843,0.000149793
SL,500_750,15181786880.000000,2153365.615609,15327672526.875000,2163628.147487,30517860016.000000,3052584.189688,0.990482205,0.000198205
SL,750_1000,3005948154.000000,965442.929027,3041770008.187500,970975.940625,6055004032.000000,1369260.503512,0.988223352,0.000447495
SL,1000_1500,980464624.500000,558290.987289,993530997.578125,561993.029948,1973855326.500000,792164.750666,0.986848550,0.000792062
SL,1500Inf,132300562.468750,210632.057970,134347579.908203,212102.352580,266655930.312500,298920.176326,0.984763273,0.002207973
DL,0_350,37983035.997009,53195.661708,37973744.018341,53228.968160,75951339.250244,75253.581150,1.000244695,0.001981969
DL,350_500,1313493942.937500,313614.905169,1322267049.850891,314639.912154,2632690937.109375,444243.832896,0.993365102,0.000334855
DL,500_750,747860907.914062,237114.453517,755106472.511932,238342.472305,1504667974.546875,336199.937792,0.990404579,0.000443093
DL,750_1000,148391286.708740,106296.628858,150065971.515198,106904.168764,298563946.738281,150756.341843,0.988840343,0.000998979
DL,1000_1500,48391285.821838,61529.334043,49112778.951233,61968.816614,97498248.912598,87326.932732,0.985309462,0.001764985
DL,1500Inf,6523630.242615,23195.253181,6617600.735809,23365.727935,13140981.253967,32923.806160,0.985799915,0.004939731
